config,building_type,n_floors,is_floor_ins,region,A_A,A_env,A_MR,A_OR,aspect,h,UA,eta_AC,eta_AH,bt_jp,A_env_model,UA_model,etaA_target,etaA_model,err_A_env,err_UA,err_etaA,clipped,clip_kind,eta_win_temp,eta_win,ok,error
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,0.5,0.6,集合,178.97999999999996,0.3,0.5829032258064516,0.5561866993309394,-1.58798242431579e-14,0.0,-4.58335539978349,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,1.0,1.2,集合,178.97999999999996,0.3,1.1658064516129032,0.5561866993309394,-1.58798242431579e-14,0.0,-52.29167769989175,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,1.5,1.8,集合,178.97999999999996,0.3,1.748709677419355,0.5561866993309394,-1.58798242431579e-14,0.0,-68.19445179992783,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,2.0,2.4,集合,178.97999999999996,0.3,2.3316129032258064,0.5561866993309394,-1.58798242431579e-14,0.0,-76.14583884994587,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,2.5,3.0,集合,178.97999999999996,0.3,2.914516129032258,0.5561866993309394,-1.58798242431579e-14,0.0,-80.91667107995669,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,3.0,3.6,集合,178.97999999999996,0.3,3.49741935483871,0.5561866993309394,-1.58798242431579e-14,0.0,-84.09722589996392,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,3.5,4.2,集合,178.97999999999996,0.3,4.080322580645162,0.5561866993309394,-1.58798242431579e-14,0.0,-86.36905077139765,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,4.0,4.8,集合,178.97999999999996,0.3,4.663225806451613,0.5561866993309394,-1.58798242431579e-14,0.0,-88.07291942497294,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,4.5,5.4,集合,178.97999999999996,0.3,5.246129032258065,0.5561866993309394,-1.58798242431579e-14,0.0,-89.39815059997595,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.3,5.0,6.0,集合,178.97999999999996,0.3,5.829032258064516,0.5561866993309394,-1.58798242431579e-14,0.0,-90.45833553997835,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,0.5,0.6,集合,178.97999999999996,0.4,0.5829032258064516,0.7415822657745861,-1.58798242431579e-14,0.0,27.22219280028871,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,1.0,1.2,集合,178.97999999999996,0.4,1.1658064516129032,0.7415822657745861,-1.58798242431579e-14,0.0,-36.38890359985565,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,1.5,1.8,集合,178.97999999999996,0.4,1.748709677419355,0.7415822657745861,-1.58798242431579e-14,0.0,-57.59260239990377,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,2.0,2.4,集合,178.97999999999996,0.4,2.3316129032258064,0.7415822657745861,-1.58798242431579e-14,0.0,-68.19445179992782,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,2.5,3.0,集合,178.97999999999996,0.4,2.914516129032258,0.7415822657745861,-1.58798242431579e-14,0.0,-74.55556143994227,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,3.0,3.6,集合,178.97999999999996,0.4,3.49741935483871,0.7415822657745861,-1.58798242431579e-14,0.0,-78.79630119995188,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,3.5,4.2,集合,178.97999999999996,0.4,4.080322580645162,0.7415822657745861,-1.58798242431579e-14,0.0,-81.82540102853018,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,4.0,4.8,集合,178.97999999999996,0.4,4.663225806451613,0.7415822657745861,-1.58798242431579e-14,0.0,-84.09722589996392,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,4.5,5.4,集合,178.97999999999996,0.4,5.246129032258065,0.7415822657745861,-1.58798242431579e-14,0.0,-85.86420079996792,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.4,5.0,6.0,集合,178.97999999999996,0.4,5.829032258064516,0.7415822657745861,-1.58798242431579e-14,0.0,-87.27778071997112,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,0.5,0.6,集合,178.97999999999996,0.5,0.5829032258064516,0.9269778322182325,-1.58798242431579e-14,0.0,59.02774100036087,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,1.0,1.2,集合,178.97999999999996,0.5,1.1658064516129032,0.9269778322182325,-1.58798242431579e-14,0.0,-20.48612949981957,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,1.5,1.8,集合,178.97999999999996,0.5,1.748709677419355,0.9269778322182325,-1.58798242431579e-14,0.0,-46.99075299987972,True,窓なし(不透明のみ),,0.1,False,
集合_フラット,apartment,1,True,1,48.06,178.98,15.64,19.92,1.847,2.853,0.5,2.0,2.4,集合,178.97999999999996,0.5,2.3316129032258064,0.9269778322182325,-1.58798242431579e-14,0.0,-60.24306474990978,True,窓なし(不透明のみ),,0.1,False,
